,frame,ID,start_x,start_y,end_x,end_y,centroid_x,centroid_y
0,1,0,692,207,738,389,688,72
1,1,1,692,207,738,389,630,309
2,1,2,692,207,738,389,687,317
3,1,3,692,207,738,389,700,297
4,2,0,692,207,738,389,688,72
5,2,1,692,207,738,389,624,306
6,2,2,692,207,738,389,676,316
7,2,3,692,207,738,389,692,291
8,3,0,692,207,738,389,688,72
9,3,1,692,207,738,389,615,307
10,3,2,692,207,738,389,669,314
11,3,3,692,207,738,389,685,289
12,4,0,692,207,738,389,688,72
13,4,1,692,207,738,389,607,301
14,4,2,692,207,738,389,661,311
15,4,3,692,207,738,389,677,287
16,5,0,692,207,738,389,688,72
17,5,1,692,207,738,389,601,299
18,5,2,692,207,738,389,654,309
19,5,3,692,207,738,389,671,287
20,6,0,692,207,738,389,688,72
21,6,1,692,207,738,389,594,301
22,6,2,692,207,738,389,647,304
23,6,3,692,207,738,389,664,281
24,7,0,692,207,738,389,688,72
25,7,1,692,207,738,389,588,300
26,7,2,692,207,738,389,641,303
27,7,3,692,207,738,389,657,279
28,8,0,692,207,738,389,688,72
29,8,1,692,207,738,389,576,296
30,8,2,692,207,738,389,631,299
31,8,3,692,207,738,389,643,277
32,9,0,692,207,738,389,688,72
33,9,1,692,207,738,389,571,292
34,9,2,692,207,738,389,626,296
35,9,3,692,207,738,389,636,271
36,10,0,692,207,738,389,688,72
37,10,1,692,207,738,389,565,288
38,10,2,692,207,738,389,619,292
39,10,3,692,207,738,389,629,277
40,11,0,692,207,738,389,688,72
41,11,1,692,207,738,389,555,275
42,11,2,692,207,738,389,600,290
43,11,3,692,207,738,389,617,271
44,12,0,692,207,738,389,688,72
45,12,1,692,207,738,389,545,274
46,12,2,692,207,738,389,593,293
47,12,3,692,207,738,389,609,268
48,13,0,692,207,738,389,687,72
49,13,1,692,207,738,389,538,275
50,13,2,692,207,738,389,586,287
51,13,3,692,207,738,389,602,267
52,14,0,692,207,738,389,690,72
53,14,1,692,207,738,389,531,279
54,14,2,692,207,738,389,580,286
55,14,3,692,207,738,389,595,269
56,15,0,692,207,738,389,686,71
57,15,1,692,207,738,389,526,273
58,15,2,692,207,738,389,574,285
59,15,3,692,207,738,389,589,262
60,16,0,692,207,738,389,690,72
61,16,1,692,207,738,389,520,274
62,16,2,692,207,738,389,568,281
63,16,3,692,207,738,389,583,264
64,17,0,692,207,738,389,687,72
65,17,1,692,207,738,389,510,273
66,17,2,692,207,738,389,555,273
67,17,3,692,207,738,389,571,263
68,18,0,692,207,738,389,688,72
69,18,1,692,207,738,389,504,267
70,18,2,692,207,738,389,546,276
