,centroid_x,centroid_y
0,109,18
1,108,17
2,109,18
3,110,19
4,109,20
5,110,19
6,109,20
7,110,19
8,109,20
9,110,19
10,111,20
11,114,19
12,111,18
13,112,17
14,113,20
15,114,19
16,115,18
17,116,17
18,115,18
19,114,17
20,113,16
21,114,15
22,113,16
23,112,15
24,113,16
25,112,15
26,111,16
27,112,17
28,111,18
29,110,17
30,107,18
31,110,17
32,111,20
33,110,19
34,109,20
35,110,19
36,111,20
37,112,21
38,111,22
39,112,21
40,111,22
41,112,21
42,113,22
43,116,21
44,115,20
45,116,19
46,115,20
47,116,21
48,115,22
49,116,21
50,115,20
51,116,21
52,115,22
53,116,21
54,115,22
55,116,23
56,115,24
57,114,23
58,113,24
59,116,23
60,113,24
61,112,23
62,111,22
63,112,21
64,111,22
65,112,21
66,111,22
67,112,21
68,111,22
69,112,21
70,111,22
71,112,23
72,109,24
73,110,25
74,107,26
75,108,25
76,107,26
77,106,25
78,105,26
79,104,27
80,103,28
81,104,27
82,103,28
83,102,29
84,101,30
85,100,27
86,99,28
87,100,27
88,99,26
89,98,23
90,95,24
91,96,23
92,95,22
93,94,19
94,93,20
95,94,21
96,93,22
97,94,21
98,91,22
99,92,21
100,89,24
101,88,23
102,85,24
103,84,23
104,83,24
105,82,23
106,79,24
107,80,23
108,79,22
109,80,23
110,77,22
111,76,21
112,77,22
113,76,21
114,75,22
115,76,19
116,77,20
117,78,19
118,77,18
119,80,19
120,81,20
121,82,19
122,83,18
123,84,17
124,85,18
125,86,17
126,85,18
127,84,17
